This list contains all games supported by FB Alpha.

8159 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| agressb	|  	| Agress (English bootleg)				| agress	| 2003	| Palco		| Miscellaneous	| 					|
| koshien	|  	| Ah Eikou no Koshien (Japan)				| 		| 1990	| Taito Corporat| Taito F2	| 					|
| airass	|  	| Air Assault (World)					| 		| 1993	| Irem		| Irem M107	| 					|
| airattck	|  	| Air Attack (set 1)					| 		| 1996	| Comad		| NMK16		| 					|
| airattcka	|  	| Air Attack (set 2)					| airattck	| 1996	| Comad		| NMK16		| 					|
| airbustrb	|  	| Air Buster: Trouble Specialty Raid Unit (bootleg)	| airbustr	| 1990	| bootleg	| Miscellaneous	| 					|
| airbustrj	|  	| Air Buster: Trouble Specialty Raid Unit (Japan)	| airbustr	| 1990	| Kaneko (Namco | Miscellaneous	| 					|
| md_airbustr	|  	| Air Buster: Trouble Specialty Raid Unit (USA)		| 		| 1991	| Kaneko	| Sega Megadrive| 					|
| airbustr	|  	| Air Buster: Trouble Specialty Raid Unit (World)	| 		| 1990	| Kaneko (Namco | Miscellaneous	| 					|
| md_airdiverj	|  	| Air Diver (Jpn)					| md_airdiver	| 1990	| Asmik Ace	| Sega Megadrive| 					|
| md_airdiver	|  	| Air Diver (USA)					| 		| 1990	| Seismic	| Sega Megadrive| 					|
| airduelm72	|  	| Air Duel (Japan, M72)					| airduel	| 1990	| Irem		| Irem M72	| 					|
| airduel	|  	| Air Duel (World, M82-A-A + M82-B-A)			| 		| 1990	| Irem		| Irem M82	| 					|
| agallet	|  	| Air Gallet (Europe)					| 		| 1996	| BanPresto / Ga| Cave		| 					|
| agalleth	|  	| Air Gallet (Hong Kong)				| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| agalletk	|  	| Air Gallet (Korea)					| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| agalleta	|  	| Air Gallet (older, Europe)				| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| agalletah	|  	| Air Gallet (older, Hong Kong)				| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| agalletak	|  	| Air Gallet (older, Korea)				| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| agalletat	|  	| Air Gallet (older, Taiwan)				| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| agalletau	|  	| Air Gallet (older, USA)				| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| agallett	|  	| Air Gallet (Taiwan)					| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| agalletu	|  	| Air Gallet (USA)					| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| md_airmanag	|  	| Air Management - Oozora ni Kakeru (Jpn)		| md_aerobiz	| 1992	| Koei		| Sega Megadrive| 					|
| md_airmang2	|  	| Air Management II - Koukuuou o Mezase (Jpn)		| md_aerobizs	| 1994	| Koei		| Sega Megadrive| 					|
| tg_airzonk	| D NW	| Air Zonk						| 		| 1992	| Hudson Soft	| TurboGrafx 16	| 					|
| airwolf	|  	| Airwolf						| 		| 1987	| Kyugo		| Kyugo		| 					|
| airwolfa	|  	| Airwolf (US)						| airwolf	| 1987	| Kyugo (United | Kyugo		| 					|
| ajax		|  	| Ajax							| 		| 1987	| Konami	| GX770		| 					|
| ajaxj		|  	| Ajax (Japan)						| ajax		| 1987	| Konami	| GX770		| 					|
| akkanvdr	|  	| Akkanbeder (Ver 2.5J 1995/06/14)			| spcinv95	| 1995	| Taito Corporat| Taito F3 Syste| 					|
| akumajoun	|  	| Akuma-Jou Dracula (Japan ver. N)			| hcastle	| 1988	| Konami	| GX768		| 					|
| akumajou	|  	| Akuma-Jou Dracula (Japan ver. P)			| hcastle	| 1988	| Konami	| GX768		| 					|
| md_akumajo	|  	| Akumajou Dracula - Vampire Killer (Jpn)		| md_cvania	| 1994	| Konami	| Sega Megadrive| 					|
| agalletj	|  	| Akuu Gallet (Japan)					| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| agalletaj	|  	| Akuu Gallet (older, Japan)				| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| md_aladdin2	|  	| Aladdin II						| 		| 199?	| <unlicensed>	| Sega Megadrive| 					|
| alcon		|  	| Alcon (US)						| 		| 1986	| Toaplan / Tait| Early Toaplan	| 					|
| sgx_aldynes	|  	| Aldynes						| 		| 1991	| Hudson	| SuperGrafx	| 					|
| md_alexkiddk	|  	| Alex Kidd - Cheongong Maseong (Kor)			| md_alexkidd	| 1990	| Samsung	| Sega Megadrive| 					|
| md_alexkidd1	|  	| Alex Kidd in the Enchanted Castle (Euro)		| md_alexkidd	| 1990	| Sega		| Sega Megadrive| 					|
| md_alexkidd	|  	| Alex Kidd in the Enchanted Castle (Euro, Rev. A)	| 		| 1990	| Sega		| Sega Megadrive| 					|
| md_alexkiddj	|  	| Alex Kidd in the Enchanted Castle (Jpn)		| md_alexkidd	| 1989	| Sega		| Sega Megadrive| 					|
| md_alexkiddu	|  	| Alex Kidd in the Enchanted Castle (USA)		| md_alexkidd	| 1989	| Sega		| Sega Megadrive| 					|
| alexkidd1	|  	| Alex Kidd: The Lost Stars (set 1, FD1089A 317-unknown)| alexkidd	| 1986	| Sega		| System 16A	| 					|
| alexkidd	|  	| Alex Kidd: The Lost Stars (set 2, unprotected)	| 		| 1986	| Sega		| System 16A	| 					|
| alibaba	|  	| Ali Baba and 40 Thieves				| 		| 1982	| Sega		| Pac-man	| 					|
| alienchac	|  	| Alien Challenge (China)				| aliencha	| 1994	| IGS		| Miscellaneous	| Imperfect sound			|
